"","nama","harga","seller","terjual","link","waktu.scrape"
"11","casa di oliva evoo minyak zaitun olive oil for kids","Rp59.800","BABYKU WHOLESALER","Terjual 1.321 Produk","https://www.tokopedia.com/babykuwholesaler/casa-di-oliva-evoo-minyak-zaitun-olive-oil-for-kids?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D12_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"12","Minyak Zaitun Extra Virgin Olive Oil Al Ghuroba 1 Liter / 1000 mL","Rp120.000","Alif Herbal","Terjual 1.175 Produk","https://www.tokopedia.com/assundari/minyak-zaitun-extra-virgin-olive-oil-al-ghuroba-1-liter-1000-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D13_catid%3D726_bmexp%3D11&whid=0",2020-09-04 08:36:35
"13","Olive Oil 1lt","Rp90.000","Java Soap","Terjual 1.565 Produk","https://www.tokopedia.com/javasoap/olive-oil-1lt?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D14_catid%3D3118_bmexp%3D11&whid=0",2020-09-04 08:36:35
"14","EVOO BABY OLIVE OIL CASA DI OLIVA OLIVIA FOR BABY AND KIDS","Rp54.000","Illya Baby Store","Terjual 1.246 Produk","https://www.tokopedia.com/illyababy-store/evoo-baby-olive-oil-casa-di-oliva-olivia-for-baby-and-kids?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D17_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"15","Bertolli Extra Virgin Olive Oil / Minyak Zaitun 500 ML BEST SELLER!","Rp87.125","SS Suppliers F&B Jakarta","Terjual 784 Produk","https://www.tokopedia.com/sssuppliers/bertolli-extra-virgin-olive-oil-minyak-zaitun-500-ml-best-seller?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D18_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"16","Bertolli Extra Virgin Olive Oil / Minyak Zaitun Murni 250 ML BEST SELL","Rp45.000","Food Republic","Terjual 891 Produk","https://www.tokopedia.com/foodrepublic/bertolli-extra-virgin-olive-oil-minyak-zaitun-murni-250-ml-best-sell?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D19_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"17","Minyak Zaitun Leriche / Le riche / Lerichi Olive oil 300 ml Original","Rp29.400","Al - Mubarok Store","Terjual 1.586 Produk","https://www.tokopedia.com/mubarokcityaja/minyak-zaitun-leriche-le-riche-lerichi-olive-oil-300-ml-original?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D20_catid%3D2289_bmexp%3D11&whid=0",2020-09-04 08:36:35
"18","BERTOLLI Extra Virgin Olive Oil Minyak Zaitun 500 ml","Rp82.600","BAYININJA","Terjual 1.259 Produk","https://www.tokopedia.com/bayininja/bertolli-extra-virgin-olive-oil-minyak-zaitun-500-ml-757a?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D21_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"19","Casa Di Oliva EXTRA VIRGIN OLIVE OIL FOR KIDS 250ml","Rp58.000","Baby Wise","Terjual 1.208 Produk","https://www.tokopedia.com/babywise/casa-di-oliva-extra-virgin-olive-oil-for-kids-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D23_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"20","BERTOLLI EXTRA VIRGIN OLIVE OIL (250ML)","Rp47.000","BestCMart","Terjual 686 Produk","https://www.tokopedia.com/bestcmart/bertolli-extra-virgin-olive-oil-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D24_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"21","BERTOLLI EXTRA VIRGIN OLIVE OIL 500ML","Rp80.000","MOMOGO ID","Terjual 832 Produk","https://www.tokopedia.com/momogoid/bertolli-extra-virgin-olive-oil-500ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D27_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"22","Minyak Zaitun BORGES Extra Virgin Olive Oil 250 ml - BORGES 250ml","Rp48.500","Lapak Barokah","Terjual 891 Produk","https://www.tokopedia.com/lapakbarokah/minyak-zaitun-borges-extra-virgin-olive-oil-250-ml-borges-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D28_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"23","BORGES Extra Virgin Olive Oil [500 mL]","Rp105.500","FingerLand","Terjual 555 Produk","https://www.tokopedia.com/finger-land/borges-extra-virgin-olive-oil-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D29_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"24","Minyak Zaitun Extra Virgin Olive Oil Bertolli 1 LTR Best Seller !","Rp159.900","SS Suppliers F&B Jakarta","Terjual 564 Produk","https://www.tokopedia.com/sssuppliers/minyak-zaitun-extra-virgin-olive-oil-bertolli-1-ltr-best-seller?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D30_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"25","Casa di Oliva For Kids / EVOO Minyak Zaitun Organik Organic Olive Oil","Rp62.000","toku pedia","Terjual 633 Produk","https://www.tokopedia.com/tokupedia/casa-di-oliva-for-kids-evoo-minyak-zaitun-organik-organic-olive-oil-1?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D31_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"26","Bertolli Extra Virgin Olive Oil 1000ml","Rp160.000","ceva","Terjual 446 Produk","https://www.tokopedia.com/cevaphilia/bertolli-extra-virgin-olive-oil-1000ml-1?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D32_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"27","POMACE OLIVE OIL / MINYAK ZAITUN 1 ltr","Rp70.000","HEANSA KIMIA","Terjual 932 Produk","https://www.tokopedia.com/heansakimia/pomace-olive-oil-minyak-zaitun-1-ltr?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D34_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"28","Filippo Berio Extra Virgin Olive Oil EVOO Minyak Zaitun untuk MPASI","Rp53.000","Whiz World","Terjual 403 Produk","https://www.tokopedia.com/whizworld/filippo-berio-extra-virgin-olive-oil-evoo-minyak-zaitun-untuk-mpasi?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D35_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"29","Borges Sybaris Premium Extra Virgin Olive Oil 500ml","Rp147.000","Kebun Kita","Terjual 328 Produk","https://www.tokopedia.com/kebunkita/borges-sybaris-premium-extra-virgin-olive-oil-500ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D36_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"30","Borges Extra Light Olive Oil Minyak Zaitun 500 ml","Rp89.000","HouseHerbal","Terjual 300 Produk","https://www.tokopedia.com/househerbal/borges-extra-light-olive-oil-minyak-zaitun-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D37_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"31","Bertolli Extra Virgin Olive Oil 250ml","Rp48.000","W-jaya Store","Terjual 503 Produk","https://www.tokopedia.com/w-jayastore/bertolli-extra-virgin-olive-oil-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D39_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"32","Bertolli Extra Virgin Olive Oil 500ml","Rp87.500","ceva","Terjual 372 Produk","https://www.tokopedia.com/cevaphilia/bertolli-extra-virgin-olive-oil-500ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D41_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"33","Casa Di Oliva Olive Oil, Extra Virgin Olive Oil 250ml","Rp72.000","Nourish Indonesia","Terjual 446 Produk","https://www.tokopedia.com/nourishindonesia/casa-di-oliva-olive-oil-extra-virgin-olive-oil-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D42_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"34","Minyak Zaitun BORGES Extra Virgin Olive Oil 500 ml","Rp80.000","Amanah Herbal Surabaya","Terjual 391 Produk","https://www.tokopedia.com/amanahherbalsby/minyak-zaitun-borges-extra-virgin-olive-oil-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D44_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"35","Minyak Zaitun BORGES Extra Virgin Olive Oil 125 ml - BORGES 125ml","Rp26.500","Lapak Barokah","Terjual 806 Produk","https://www.tokopedia.com/lapakbarokah/minyak-zaitun-borges-extra-virgin-olive-oil-125-ml-borges-125ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D46_catid%3D2289_bmexp%3D11&whid=0",2020-09-04 08:36:35
"36","BERTOLLI Extra Virgin Olive Oil Minyak Zaitun 250 ml","Rp44.800","BAYININJA","Terjual 574 Produk","https://www.tokopedia.com/bayininja/bertolli-extra-virgin-olive-oil-minyak-zaitun-250-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D47_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"37","OLIVE OIL BERTOLLI EXTRA LIGHT 3 Liter","Rp397.000","Warung Mas Budi","Terjual 495 Produk","https://www.tokopedia.com/warungmasbudi/olive-oil-bertolli-extra-light-3-liter?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D48_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"38","Bertolli Extra Virgin Olive Oil / Minyak Zaitun 250 ML Best Seller!","Rp49.200","SS Suppliers F&B Jakarta","Terjual 387 Produk","https://www.tokopedia.com/sssuppliers/bertolli-extra-virgin-olive-oil-minyak-zaitun-250-ml-best-seller?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D49_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"39","Olive Oil Pomace 500 ml","Rp45.000","Syah-House","Terjual 752 Produk","https://www.tokopedia.com/syah-house/olive-oil-pomace-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D51_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"40","Minyak Zaitun Borges Extra Virgin Olive Oil 500 ml - TANPA BUBBLE","Rp76.999","Mulia Shop","Terjual 345 Produk","https://www.tokopedia.com/muliashop/minyak-zaitun-borges-extra-virgin-olive-oil-500-ml-tanpa-bubble?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D53_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"41","BERTOLLI EXTRA LIGHT OLIVE OIL (500ML)","Rp84.000","BestCMart","Terjual 360 Produk","https://www.tokopedia.com/bestcmart/bertolli-extra-light-olive-oil-500ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D54_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"42","NIGELLA OLIVE OIL ATH THIBBUN NABAWI","Rp120.000","DUNIAKITA","Terjual 320 Produk","https://www.tokopedia.com/dunia-kita/nigella-olive-oil-ath-thibbun-nabawi?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D55_catid%3D2289_bmexp%3D11&whid=0",2020-09-04 08:36:35
"43","Minyak Zaitun ZAIT MUBAROK 60 ml | Minyak Zaitun Olive Oil","Rp12.750","AFF GALLERY","Terjual 1.312 Produk","https://www.tokopedia.com/pusatpropolis/minyak-zaitun-zait-mubarok-60-ml-minyak-zaitun-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D57_catid%3D2289_bmexp%3D11&whid=0",2020-09-04 08:36:35
"44","BERTOLLI EXTRA LIGHT OLIVE OIL (2 L)","Rp290.000","BestCMart","Terjual 353 Produk","https://www.tokopedia.com/bestcmart/bertolli-extra-light-olive-oil-2-l?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D58_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"45","BORGES [500 ml] Extra Light Olive Oil","Rp95.000","greenara.id","Terjual 256 Produk","https://www.tokopedia.com/greenaraid/borges-500-ml-extra-light-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D59_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"46","EVOO Baby Olive Oil Casa Di Oliva Olivia For Kids Bayi Minyak Zaitun","Rp60.000","instore9088","Terjual 335 Produk","https://www.tokopedia.com/instore9088/evoo-baby-olive-oil-casa-di-oliva-olivia-for-kids-bayi-minyak-zaitun?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D60_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"47","BERTOLLI EXTRA LIGHT OLIVE OIL 3 L","Rp408.000","BestCMart","Terjual 346 Produk","https://www.tokopedia.com/bestcmart/bertolli-extra-light-olive-oil-3-l?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D1_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"48","BORGES [250 mL] Extra Virgin Olive Oil Minyak Zaitun","Rp53.000","greenara.id","Terjual 326 Produk","https://www.tokopedia.com/greenaraid/borges-250-ml-extra-virgin-olive-oil-minyak-zaitun?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D2_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"49","Bertolli Extra Virgin Olive Oil 250ml - Minyak Zaitun","Rp47.900","TheOnlineGrocer","Terjual 246 Produk","https://www.tokopedia.com/theonlinegrocer/bertolli-extra-virgin-olive-oil-250ml-minyak-zaitun?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D3_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"50","BERTOLLI EXTRA VIRGIN OLIVE OIL (2 L)","Rp294.000","BestCMart","Terjual 409 Produk","https://www.tokopedia.com/bestcmart/bertolli-extra-virgin-olive-oil-2-l?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D4_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"51","BERTOLLI Extra Light Olive Oil Minyak Zaitun 500 ml","Rp83.200","BAYININJA","Terjual 365 Produk","https://www.tokopedia.com/bayininja/bertolli-extra-light-olive-oil-minyak-zaitun-500-ml?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D5_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"52","Minyak Zaitun RS extra virgin olive oil 1liter","Rp160.000","ASBA7 TOKO","Terjual 184 Produk","https://www.tokopedia.com/asbajayautama/minyak-zaitun-rs-extra-virgin-olive-oil-1liter?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D6_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"53","Minyak Zaitun Extra Virgin Olive Oil Bertolli 1 LTR","Rp163.000","foodsupply.co","Terjual 245 Produk","https://www.tokopedia.com/foodsupplyco/minyak-zaitun-extra-virgin-olive-oil-bertolli-1-ltr?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D8_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"54","Borges Extra Virgin Olive Oil - 500 ml","Rp108.000","Genki Plant","Terjual 228 Produk","https://www.tokopedia.com/genkiplant/borges-extra-virgin-olive-oil-500-ml?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D9_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"55","Minyak Zaitun Le Riche 300ml - Leriche 300ml - Olive Oil","Rp35.000","Lapak Barokah","Terjual 598 Produk","https://www.tokopedia.com/lapakbarokah/minyak-zaitun-le-riche-300ml-leriche-300ml-olive-oil?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D10_catid%3D2289_bmexp%3D11&whid=0",2020-09-04 08:36:35
"56","Bertolli Extra Virgin Olive Oil 250ml","Rp50.000","ceva","Terjual 242 Produk","https://www.tokopedia.com/cevaphilia/bertolli-extra-virgin-olive-oil-250ml?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D11_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"57","Minyak Zaitun Asli - Murni - Extra Virgin Olive Oil 500ml al-Amir Afra","Rp110.000","Febryan Paudi","Terjual 287 Produk","https://www.tokopedia.com/febryanpaudi/minyak-zaitun-asli-murni-extra-virgin-olive-oil-500ml-al-amir-afra?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D13_catid%3D2289_bmexp%3D11&whid=0",2020-09-04 08:36:35
"58","Minyak Zaitun RS extra virgin olive oil 1liter","Rp133.000","Distributor Herbal Jkt","Terjual 413 Produk","https://www.tokopedia.com/suplierherbal/minyak-zaitun-rs-extra-virgin-olive-oil-1liter?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D14_catid%3D2289_bmexp%3D11&whid=0",2020-09-04 08:36:35
"59","BERTOLLI EXTRA LIGHT OLIVE OIL 1L","Rp153.000","MOMOGO ID","Terjual 395 Produk","https://www.tokopedia.com/momogoid/bertolli-extra-light-olive-oil-1l?trkid=f%3DCa2279L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D15_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
